category,laureate_id,laureate_name,prize_year,decade,pub_year,title,paper_id,is_prize_winning_paper,author_count
Physics,10097,"anderson, pw",1977,1970,1958.0,absence of diffusion in certain random lattices,2264002775.0,YES,1
Physics,10098,"van vleck, jh",1977,1970,1932.0,theory of the variations in paramagnetic anisotropy among different salts of the iron group,1996895697.0,YES,1
Physics,10098,"vanvleck, jh",1977,1970,1932.0,theory of the variations in paramagnetic anisotropy among different salts of the iron group,1996895697.0,YES,1
Physics,10099,"ting, scc",1976,1970,1974.0,experimental observation of a heavy particle j,2041374439.0,YES,14
Physics,10100,"richter, b",1976,1970,1974.0,discovery of a narrow resonance in e e annihilation,1985795857.0,YES,35
Physics,10100,"richter, b",1976,1970,1974.0,the discovery of a second narrow resonance in e e annihilation,2035537487.0,YES,36
Physics,10101,"bohr, a.",1975,1970,1953.0,interpretation of isomeric transitions of electric quadrupole type,2086905158.0,YES,2
Physics,10101,"bohr, a.",1975,1970,1953.0,rotational states in even even nuclei,2093806366.0,YES,2
Physics,10102,"mottelson, br",1975,1970,1953.0,interpretation of isomeric transitions of electric quadrupole type,2086905158.0,YES,2
Physics,10102,"mottelson, br",1975,1970,1953.0,rotational states in even even nuclei,2093806366.0,YES,2
Physics,10103,"rainwater, j",1975,1970,1950.0,nuclear energy level argument for a spheroidal nuclear model,2081328640.0,YES,1
Physics,10104,"ryle, m",1974,1970,1946.0,solar radiation on 175 mc s,2072256285.0,YES,2
Physics,10105,"hewish, a",1974,1970,1968.0,observation of a rapidly pulsating radio source,2018280393.0,YES,5
Physics,10106,"esaki, l",1973,1970,1958.0,new phenomenon in narrow germanium p n junctions,1968666095.0,YES,1
Physics,10107,"giaever, i",1973,1970,1961.0,tunneling through thin insulating layers,2001716999.0,YES,2
Physics,10107,"giaever, i",1973,1970,1960.0,electron tunneling between two superconductors,2002706548.0,YES,1
Physics,10107,"giaever, i",1973,1970,1961.0,study of superconductors by electron tunneling,2067175510.0,YES,2
Physics,10107,"giaever, i",1973,1970,1960.0,energy gap in superconductors measured by electron tunneling,2073782888.0,YES,1
Physics,10108,"josephson, bd",1973,1970,1962.0,possible new effects in superconductive tunnelling,2566706182.0,YES,1
Physics,10109,"schrieffer, jr",1972,1970,1957.0,theory of superconductivity,2014437371.0,YES,3
Physics,10110,"cooper, ln",1972,1970,1957.0,theory of superconductivity,2014437371.0,YES,3
Physics,10111,"bardeen, j",1972,1970,1957.0,theory of superconductivity,2014437371.0,YES,3
Physics,10112,"gabor, d",1971,1970,1948.0,a new microscopic principle,1991101760.0,YES,1
Physics,10112,"gabor, d",1971,1970,1949.0,microscopy by reconstructed wave fronts,2067287942.0,YES,1
Physics,10113,"neel, l",1970,1970,1948.0,proprietes magnetiques des ferrites ferrimagnetisme et antiferromagnetisme,2608873142.0,YES,1
Physics,10114,"alfven, h",1970,1970,1942.0,existence of electromagnetic hydrodynamic waves,2049973561.0,YES,1
Physics,10114,"alfven, h",1970,1970,1939.0,on the motion of cosmic rays in interstellar space,1964244046.0,YES,1
Physics,10115,"gellmann, m",1969,1960,1960.0,the axial vector current in beta decay,2101447717.0,YES,2
Physics,10115,"gellmann, m",1969,1960,1962.0,symmetries of baryons and mesons,2226963368.0,YES,1
Physics,10115,"gellmann, m",1969,1960,1958.0,theory of the fermi interaction,1508439018.0,YES,2
Physics,10116,"alvarez, lw",1968,1960,1961.0,evidence for a t 0 three pion resonance,2034289567.0,YES,4
Physics,10116,"alvarez, lw",1968,1960,1957.0,catalysis of nuclear reactions by mu mesons,2327634809.0,YES,12
Physics,10117,"bethe, ha",1967,1960,1939.0,energy production in stars,2051756823.0,YES,1
Physics,10118,"kastler, a",1966,1960,1950.0,*quelques suggestions concernant la production optique et la detection optique dune inegalite de population des niveaux de quantification spatiale des atomes - application a lexperience de stern et gerlach et a la resonance magnetique,,YES,
Physics,10119,"feynman, rp",1965,1960,1950.0,mathematical formulation of the quantum theory of electromagnetic interaction,1996620877.0,YES,1
Physics,10119,"feynman, rp",1965,1960,1948.0,a relativistic cut off for classical electrodynamics,2015474809.0,YES,1
Physics,10119,"feynman, rp",1965,1960,1948.0,relativistic cut off for quantum electrodynamics,2142710655.0,YES,1
Physics,10119,"feynman, rp",1965,1960,1949.0,space time approach to quantum electrodynamics,2081796865.0,YES,1
Physics,10119,"feynman, rp",1965,1960,1949.0,the theory of positrons,1995841230.0,YES,1
Physics,10120,"schwinger, j",1965,1960,1948.0,quantum electrodynamics i a covariant formulation,1973182975.0,YES,1
Physics,10120,"schwinger, j",1965,1960,1948.0,on quantum electrodynamics and the magnetic moment of the electron,2225565636.0,YES,1
Physics,10121,"tomonaga, si",1965,1960,1948.0,on infinite field reactions in quantum field theory,2035127450.0,YES,2
Physics,10121,"tomonaga, si",1965,1960,1949.0,on a relativistically invariant formulation of the quantum theory of wave fields,2080044952.0,YES,1
Physics,10122,"prokhorov, am",1964,1960,1954.0,*primenenie molekulyarnykh puchkov dlya radiospektroskopicheskogo izucheniya vrashchatelnykh spektrov molekul,,YES,
Physics,10123,"townes, ch",1964,1960,1958.0,infrared and optical masers,1964347990.0,YES,2
Physics,10123,"townes, ch",1964,1960,1955.0,stark effect in rapidly varying fields,2080559570.0,YES,2
Physics,10124,"basov, ng",1964,1960,1954.0,*primenenie molekulyarnykh puchkov dlya radiospektroskopicheskogo izucheniya vrashchatelnykh spektrov molekul,,YES,
Physics,10125,"jensen, jhd",1963,1960,1949.0,on the magic numbers in nuclear structure,1983767566.0,YES,3
Physics,10126,"mayer, mg",1963,1960,1949.0,on closed shells in nuclei ii,1985289694.0,YES,1
Physics,10127,"wigner, ep",1963,1960,1932.0,on the quantum correction for thermodynamic equilibrium,2031147858.0,YES,1
Physics,10127,"wigner, ep",1963,1960,1934.0,on the interaction of electrons in metals,2049635189.0,YES,1
Physics,10128,"landau, l",1962,1960,1941.0,theory of the superfluidity of helium ii,2043824501.0,YES,1
Physics,10129,"mossbauer, rl",1961,1960,1958.0,kernresonanzfluoreszenz von gammastrahlung in ir191,2016797896.0,YES,1
Physics,10129,"mossbauer, rl",1961,1960,1958.0,kernresonanzabsorption von gammastrahlung in ir191,1966484500.0,YES,1
Physics,10130,"hofstadter, r",1961,1960,1949.0,the detection of gamma rays with thallium activated sodium iodide crystals,1991093461.0,YES,1
Physics,10131,"glaser, da",1960,1960,1952.0,some effects of ionizing radiation on the formation of bubbles in liquids,2053131619.0,YES,1
Physics,10132,"chamberlain, o",1959,1950,1955.0,observation of antiprotons,2026016239.0,YES,4
Physics,10133,"segre, e",1959,1950,1955.0,observation of antiprotons,2026016239.0,YES,4
Physics,10134,"cherenkov, pa",1958,1950,1934.0,Visible emission of clean liquids by action of  radiation,,YES,
Physics,10135,"tamm, i",1958,1950,1937.0,coherent visible radiation from fast electrons passing through matter,2599073804.0,YES,
Physics,10136,"frank, i",1958,1950,1937.0,coherent visible radiation of fast electrons passing through matter,1773401776.0,YES,2
Physics,10137,"lee, td",1957,1950,1956.0,question of parity conservation in weak interactions,2157338954.0,YES,2
Physics,10138,"yang, cn",1957,1950,1956.0,question of parity conservation in weak interactions,2157338954.0,YES,2
Physics,10139,"bardeen, j",1956,1950,1947.0,surface states and rectification at a metal semi conductor contact,2029526589.0,YES,1
Physics,10140,"brattain, wh",1956,1950,1948.0,the transistor a semi conductor triode,2066255432.0,YES,2
Physics,10141,"shockley, w",1956,1950,1950.0,deformation potentials and mobilities in non polar crystals,2067983335.0,YES,2
Physics,10141,"shockley, w",1956,1950,1949.0,the theory of p n junctions in semiconductors and p n junction transistors,2062624166.0,YES,1
Physics,10142,"kusch, p",1955,1950,1948.0,the magnetic moment of the electron,2015930212.0,YES,2
Physics,10143,"lamb, we",1955,1950,1947.0,fine structure of the hydrogen atom by a microwave method,2248814689.0,YES,2
Physics,10144,"born, m",1954,1950,1926.0,quantenmechanik der stosvorgange,1989868128.0,YES,1
Physics,10144,"born, m",1954,1950,1926.0,zur quantenmechanik ii,2059245145.0,YES,3
Physics,10144,"born, m",1954,1950,1928.0,beweis des adiabatensatzes,2031828766.0,YES,2
Physics,10144,"born, m",1954,1950,1926.0,zur quantenmechanik der stosvorgange,1989440127.0,YES,1
Physics,10144,"born, m",1954,1950,1927.0,on the quantum theory of molecules,2486023113.0,YES,
Physics,10145,"bothe, w",1954,1950,1925.0,uber das wesen des comptoneffekts ein experimenteller beitrag zur theorie der strahlung,1986884324.0,YES,2
Physics,10146,"zernike, f",1953,1950,1934.0,diffraction theory of the knife edge test and its improved form the phase contrast method,2031478061.0,YES,2
Physics,10147,"bloch, f",1952,1950,1946.0,the nuclear induction experiment,1988204378.0,YES,3
Physics,10148,"purcell, em",1952,1950,1946.0,resonance absorption by nuclear magnetic moments in a solid,1983718136.0,YES,3
Physics,10149,"walton, ets",1951,1950,1932.0,experiments with high velocity positive ions ii the disintegration of elements by high velocity protons,2062734533.0,YES,2
Physics,10150,"cockcroft, jd",1951,1950,1932.0,experiments with high velocity positive ions ii the disintegration of elements by high velocity protons,2062734533.0,YES,2
Physics,10151,"powell, cf",1950,1950,1947.0,processes involving charged mesons,2101266762.0,YES,4
Physics,10151,"powell, cf",1950,1950,1947.0,observations on the tracks of slow mesons in photographic emulsions,2068299905.0,YES,3
Physics,10152,"yukawa, h",1949,1940,1937.0,on the nuclear transformation with the absorption of the orbital electron,1973587862.0,YES,2
Physics,10152,"yukawa, h",1949,1940,1939.0,mass and mean life time of the meson,2052690769.0,YES,2
Physics,10153,"blackett, pms",1948,1940,1932.0,further investigations with a wilson chamber ii the range and velocity of recoil atoms,1968872513.0,YES,2
